skill_name,vacancy_count,avg_salary_from,avg_salary_to,salary_currency,search_query
Выбор подрядных организаций,7,105833,140000,RUR,"материаловедение,экология промышленная,энергетика"
Медицинская документация,7,80429,115000,RUR,"горное дело,материаловедение"
Доброжелательность,7,52900,61914,RUR,металлургия
Мониторинг рынка,7,101628,362713,RUR,"горное дело,металлургия,электроника"
FastAPI,7,216667,280000,RUR,"DevOps,data scientist,machine learning инженер,нанотехнологии"
Golang,7,250000,410000,RUR,"DevOps,machine learning инженер,горное дело"
Контроль состояния оборудования,7,166500,185000,RUR,"горное дело,информатика и вычислительная техника,электроника"
Java,7,5000,,USD,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника"
PowerShell,7,129200,67600,RUR,"DevOps,аддитивные технологии,информатика и вычислительная техника"
Proxmox,7,138750,172750,RUR,DevOps
Elasticsearch,7,3500,,USD,"DevOps,data scientist"
XGBoost,7,152500,7000,USD,"data scientist,machine learning инженер"
Газовая сварка,6,111132,98957,RUR,материаловедение
Сварка трубопроводов,6,111132,98957,RUR,материаловедение
Работа с чертежами,6,105000,115000,RUR,"аддитивные технологии,материаловедение,металлургия,энергетика"
Проверка наличия заземления,6,103279,153055,RUR,материаловедение
Приемка товара,6,84467,134400,RUR,материаловедение
Оприходование товара,6,78333,,RUR,"горное дело,материаловедение,металлургия"
Учет ТМЦ,6,101667,120000,RUR,"аддитивные технологии,материаловедение"
MS PowerPoint,6,104000,128000,RUR,"data scientist,горное дело,информатика и вычислительная техника,материаловедение,металлургия"
Автоматизация процессов,6,119000,167000,RUR,"DevOps,материаловедение,металлургия"
Техническая поддержка,6,110000,150000,RUR,"machine learning инженер,аддитивные технологии,информатика и вычислительная техника,материаловедение"
Работа с клиентами,6,101167,312000,RUR,"материаловедение,металлургия,электроника"
Монтаж инженерных систем,6,103100,115000,RUR,"материаловедение,энергетика"
Управление процессами,6,100000,250000,RUR,"аддитивные технологии,материаловедение"
Работа на выставках,6,126000,250000,RUR,"аддитивные технологии,материаловедение,электроника,энергетика"
САПР,6,130000,,RUR,"аддитивные технологии,горное дело,материаловедение"
Мотивация персонала,6,144167,336667,RUR,"machine learning инженер,аддитивные технологии,материаловедение,экология промышленная,электроника"
Участие в Тендерах,6,116667,330000,RUR,"аддитивные технологии,горное дело,материаловедение,металлургия"
Исправление дефектов сваркой,6,111132,108138,RUR,материаловедение
Adobe Photoshop,6,84333,70000,RUR,"аддитивные технологии,материаловедение"
Работа с возражениями,6,120000,184167,RUR,"материаловедение,металлургия,электроника"
Бережливое производство,6,200000,575000,RUR,"материаловедение,металлургия,экология промышленная,электроника"
Оперативное планирование,6,100000,,RUR,"аддитивные технологии,горное дело,материаловедение"
Холодные звонки,6,122500,350000,RUR,"материаловедение,металлургия"
Проектирование,6,90000,150000,RUR,"аддитивные технологии,материаловедение,экология промышленная"
SPIN-продажи,6,130000,381250,RUR,"материаловедение,металлургия,энергетика"
Сварка цветных металлов,6,115167,159000,RUR,материаловедение
Проведение инструктажей,6,80400,82500,RUR,"материаловедение,экология промышленная,энергетика"
Умение читать чертежи,6,90000,120000,RUR,"материаловедение,металлургия,электроника,энергетика"
Электронный документооборот,6,98360,135000,RUR,"DevOps,горное дело,материаловедение,металлургия,экология промышленная"
Знание устройства производственного оборудования,6,147000,116667,RUR,"информатика и вычислительная техника,материаловедение,экология промышленная,энергетика"
Торговля,6,57167,116000,RUR,"горное дело,материаловедение,металлургия"
Построение воронки продаж,6,133738,200000,RUR,"аддитивные технологии,металлургия,экология промышленная,электроника"
Корпоративная этика,6,94800,65000,RUR,"горное дело,металлургия,энергетика"
Ответственный подход к работе,6,145333,185500,RUR,"горное дело,металлургия,экология промышленная,электроника"
Аналитика продаж,6,145000,287500,RUR,"металлургия,экология промышленная,электроника"
Умение планировать,6,200000,121000,RUR,"горное дело,металлургия,электроника,энергетика"
Автоматизация,6,110750,150000,RUR,"информатика и вычислительная техника,металлургия,электроника"
Техническая грамотность,6,176400,170000,RUR,"горное дело,электроника,энергетика"
Unix,6,112533,67600,RUR,"DevOps,горное дело,информатика и вычислительная техника"
Тестирование,6,150000,120000,RUR,"DevOps,информатика и вычислительная техника,электроника"
PHP,6,168975,240000,RUR,"DevOps,machine learning инженер,информатика и вычислительная техника"
MS SQL Server,6,151600,248200,RUR,"DevOps,data scientist,информатика и вычислительная техника"
Математическое моделирование,6,80000,107500,RUR,"data scientist,информатика и вычислительная техника"
Настройка серверов,6,71000,80000,RUR,"DevOps,информатика и вычислительная техника"
Испытания электрооборудования,6,130000,210000,RUR,электроника
4 группа по электробезопасности,6,90000,100000,RUR,энергетика
Экология,6,66917,,RUR,экология промышленная
Docker-compose,6,166988,240000,RUR,DevOps
Debian,6,145000,90000,RUR,DevOps
IaC,6,96000,144000,RUR,DevOps
MongoDB,6,77000,200000,RUR,DevOps
Azure,6,70000,80000,RUR,DevOps
HAProxy,6,250000,300000,RUR,DevOps
Data Analysis,6,225000,150000,RUR,"data scientist,machine learning инженер"
Matplotlib,6,150000,250000,RUR,"data scientist,machine learning инженер"
AI,6,,,,"data scientist,machine learning инженер"
Аналитические исследования,5,275000,650000,RUR,"data scientist,информатика и вычислительная техника,материаловедение,металлургия"
Работа на производстве,5,100000,90000,RUR,"аддитивные технологии,материаловедение,металлургия"
Сварка алюминия,5,95125,155000,RUR,материаловедение
Выкладка товара,5,88680,114700,RUR,"материаловедение,металлургия"
Ротация товара,5,85680,134400,RUR,материаловедение
Контроль сроков годности,5,75560,114933,RUR,"материаловедение,металлургия"
Навык сварки экспериментальными методами,5,123500,137500,RUR,материаловедение
1С: Документооборот,5,125667,115000,RUR,"DevOps,материаловедение,энергетика"
разработка чертежей,5,100000,,RUR,"аддитивные технологии,материаловедение,металлургия"
Составление технологических карт,5,108333,230000,RUR,"аддитивные технологии,материаловедение,металлургия"
Выбор технологической оснастки,5,82500,75000,RUR,"материаловедение,металлургия"
Лабораторная работа,5,96667,125000,RUR,"материаловедение,экология промышленная"
Работа с ТМЦ,5,105000,87500,RUR,"материаловедение,металлургия,электроника"
Управление складскими запасами,5,118600,90000,RUR,материаловедение
Кассовые операции,5,59220,91050,RUR,"горное дело,материаловедение,металлургия"
Пополнение товарных запасов,5,61667,59500,RUR,"материаловедение,металлургия,энергетика"
Техническая экспертиза,5,106875,135000,RUR,"аддитивные технологии,материаловедение,экология промышленная"
Битрикс24,5,144375,225000,RUR,"материаловедение,металлургия,электроника"
Мерчандайзинг,5,77567,55567,RUR,"горное дело,материаловедение,металлургия,энергетика"
Подбор персонала,5,103000,65000,RUR,"аддитивные технологии,горное дело,материаловедение,энергетика"
Лидерство,5,145000,310000,RUR,"machine learning инженер,материаловедение,металлургия,электроника"
Управленческая отчетность,5,132000,,RUR,"горное дело,материаловедение,металлургия,электроника"
Производство строительно-монтажных работ,5,103224,61276,RUR,"горное дело,материаловедение,металлургия,экология промышленная"
Выбор пространственного положения сварного шва,5,111132,108138,RUR,материаловедение
Аргонодуговая сварка,5,118349,126425,RUR,материаловедение
CorelDRAW,5,107667,70000,RUR,материаловедение
Проведение переговоров,5,147000,216667,RUR,"аддитивные технологии,материаловедение,металлургия"
Навыки презентации,5,116250,216667,RUR,"аддитивные технологии,материаловедение,металлургия"
Машиностроение,5,120000,163000,RUR,"аддитивные технологии,материаловедение,металлургия"
Управление отношениями с клиентами,5,112000,65000,RUR,"аддитивные технологии,материаловедение,металлургия"
Стратегическое мышление,5,100000,,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,нанотехнологии"
Сопровождение строительства,5,114000,180000,RUR,"горное дело,материаловедение,энергетика"
Договорная работа,5,66750,108750,RUR,"аддитивные технологии,материаловедение,металлургия,экология промышленная,энергетика"
Стратегия продаж,5,130000,212500,RUR,"аддитивные технологии,металлургия,электроника"
Выкладка товаров,5,47567,40729,RUR,металлургия
1С: Управление Производственным Предприятием,5,130000,130000,RUR,"DevOps,информатика и вычислительная техника,металлургия"
Организационные навыки,5,101667,117500,RUR,"горное дело,информатика и вычислительная техника,нанотехнологии,электроника,энергетика"
MS Dos,5,161360,97380,RUR,"горное дело,электроника,энергетика"
Deswik,5,,,,горное дело
JavaScript,5,150000,80000,RUR,"DevOps,machine learning инженер,горное дело,информатика и вычислительная техника"
Расследование несчастных случаев,5,103833,1700,RUR,"горное дело,экология промышленная"
ERP-системы на базе 1С,5,180000,,RUR,"DevOps,информатика и вычислительная техника"
Ремонт ПК,5,107500,141667,RUR,"информатика и вычислительная техника,электроника"
Greenplum,5,193750,,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника"
СУБД,5,80000,150000,RUR,"DevOps,data scientist,информатика и вычислительная техника"
ETL,5,116400,174600,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника"
Математический анализ,5,145000,232500,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника"
VPN,5,150000,80000,RUR,"DevOps,аддитивные технологии,информатика и вычислительная техника"
BPMN,5,87500,80000,RUR,"DevOps,data scientist,информатика и вычислительная техника"
Анализ рынка,5,125333,92500,RUR,"аддитивные технологии,электроника"
Производственный экологический контроль,5,50000,45000,RUR,экология промышленная
TeamCity,5,180000,190000,RUR,DevOps
HTTP,5,120500,,RUR,DevOps
Торговая площадка,5,,,,data scientist
A/B тесты,5,,,,data scientist
Акты списания товаров,4,87100,134400,RUR,материаловедение
Учет товаров,4,87100,134400,RUR,материаловедение
Товарно-транспортная накладная,4,81250,,RUR,"материаловедение,экология промышленная"
Оформление торгового зала,4,89600,114700,RUR,"материаловедение,металлургия"
Знание кассовой дисциплины,4,168500,97835,RUR,"материаловедение,металлургия"
Контроль сотрудников,4,87000,,RUR,"аддитивные технологии,материаловедение"
Научная деятельность,4,80000,120000,RUR,"data scientist,информатика и вычислительная техника,материаловедение"
Корпоративные продажи,4,83333,120000,RUR,"материаловедение,экология промышленная"
ANSYS,4,120000,,RUR,"информатика и вычислительная техника,материаловедение"
Atlassian Confluence,4,,,,"DevOps,материаловедение,электроника"
Расчет себестоимости,4,125000,145000,RUR,"материаловедение,металлургия"
Контроль выполнения задач,4,106667,,RUR,"аддитивные технологии,материаловедение,металлургия"
Креативность,4,190000,240000,RUR,"аддитивные технологии,материаловедение"
Ответственное хранение,4,108625,65000,RUR,"аддитивные технологии,горное дело,материаловедение,электроника"
Дизайн одежды,4,127667,115000,RUR,материаловедение
Сборочный чертеж,4,113750,163333,RUR,"аддитивные технологии,материаловедение"
ГОСТ,4,81667,200000,RUR,"аддитивные технологии,материаловедение,электроника"
Управление качеством,4,85000,100000,RUR,"горное дело,материаловедение,электроника"
Знание свойств металлов,4,97750,155000,RUR,"материаловедение,металлургия"
Автоматическая сварка,4,145250,155000,RUR,материаловедение
Деловая этика,4,80667,65000,RUR,"горное дело,материаловедение,металлургия,экология промышленная"
Медицинское оборудование,4,95750,160000,RUR,"горное дело,материаловедение"
Составление смет,4,115000,125000,RUR,"горное дело,материаловедение,энергетика"
Аналитические способности,4,143250,163333,RUR,"информатика и вычислительная техника,материаловедение"
Бюджетирование,4,85467,246200,RUR,"информатика и вычислительная техника,материаловедение,металлургия,электроника"
Технический надзор,4,102500,,RUR,"материаловедение,энергетика"
Работа с проектной документацией,4,190000,400000,RUR,"горное дело,материаловедение,экология промышленная,энергетика"
Ремонт и обслуживание автоматики,4,120000,140000,RUR,"материаловедение,электроника,энергетика"
Разработка методики испытаний,4,82500,120000,RUR,металлургия
Оптимизация воронки продаж,4,105000,180000,RUR,"аддитивные технологии,металлургия,электроника"
Технологии энергетической промышленности,4,133750,120000,RUR,"металлургия,энергетика"
Ответственность и пунктуальность,4,92667,85000,RUR,"горное дело,металлургия,электроника,энергетика"
Грамотность,4,80333,110000,RUR,"информатика и вычислительная техника,металлургия,энергетика"
Консультирование пользователей,4,95000,95000,RUR,"информатика и вычислительная техника,металлургия"
Работа с поставщиками,4,80000,,RUR,"металлургия,электроника"
Работа с дебиторской задолженностью,4,122500,450000,RUR,металлургия
Логистика,4,122500,450000,RUR,металлургия
Достижение результата,4,142500,,RUR,"металлургия,электроника"
Работа с компьютером,4,79925,73600,RUR,"металлургия,электроника"
Моделирование,4,,,,"информатика и вычислительная техника,металлургия,электроника"
Умение организовывать работу,4,132500,105000,RUR,"горное дело,экология промышленная"
планировать,4,132500,105000,RUR,"горное дело,экология промышленная"
MS Word,4,136667,,RUR,"горное дело,экология промышленная,энергетика"
nanoCAD,4,,,,горное дело
LEICA Geo Office,4,,,,горное дело
GeoMaхZoom,4,,,,горное дело
ГРОЗ,4,220000,,RUR,горное дело
Материально-техническое обеспечение,4,210000,400000,RUR,"горное дело,энергетика"
Безопасность,4,162500,170000,RUR,"горное дело,информатика и вычислительная техника,энергетика"
Документирование бизнес-требований,4,58000,,RUR,информатика и вычислительная техника
Описание бизнес-процессов,4,,,,информатика и вычислительная техника
Ремонт,4,132500,168333,RUR,"информатика и вычислительная техника,электроника,энергетика"
1С,4,95000,120000,RUR,"информатика и вычислительная техника,электроника"
Astra Linux,4,153750,,RUR,"DevOps,информатика и вычислительная техника"
UML,4,150000,72000,RUR,"DevOps,machine learning инженер,информатика и вычислительная техника"
MATLAB,4,100000,120000,RUR,информатика и вычислительная техника
Администрирование серверов,4,118750,80000,RUR,"аддитивные технологии,информатика и вычислительная техника"
ИТ-инфраструктура,4,160000,150000,RUR,"DevOps,информатика и вычислительная техника"
KVM,4,67600,67600,RUR,"DevOps,информатика и вычислительная техника"
Выездное обслуживание,4,87500,150000,RUR,"аддитивные технологии,информатика и вычислительная техника,электроника"
.NET Core,4,,,,"DevOps,информатика и вычислительная техника"
Электроника,4,60333,77500,RUR,электроника
аналоговая схемотехника,4,,,,электроника
Поверка контрольно-измерительных приборов,4,120500,,RUR,"электроника,энергетика"
B2C продажи,4,103750,270000,RUR,"аддитивные технологии,электроника"
Управление строительством,4,160000,157500,RUR,"экология промышленная,энергетика"
Пробоотбор,4,70000,,RUR,экология промышленная
Экологический мониторинг,4,70000,,RUR,экология промышленная
Blender 3D,4,75333,129333,RUR,аддитивные технологии
CentOS,4,175000,325000,RUR,DevOps
Vault,4,,300000,RUR,DevOps
ArgoCD,4,300000,400000,RUR,"DevOps,machine learning инженер"
NETWORK,4,70000,80000,RUR,DevOps
CircleCI,4,70000,80000,RUR,DevOps
Локальные сети,4,70000,80000,RUR,DevOps
Airflow,4,,,,"DevOps,data scientist"
MLOps,4,250000,,RUR,"data scientist,machine learning инженер"
nlp,4,,,,machine learning инженер
Нейронные сети,4,230000,,RUR,"data scientist,machine learning инженер"
Поиск информации в интернет,3,52900,86250,RUR,"аддитивные технологии,материаловедение,экология промышленная"
Компас,3,82500,85000,RUR,"аддитивные технологии,материаловедение"
Отчеты по товарам,3,90000,,RUR,материаловедение
Планирование товарных запасов,3,140667,,RUR,материаловедение
Контроль остатков,3,90000,,RUR,материаловедение
Товарная накладная,3,88333,,RUR,материаловедение
1С: Розница,3,145000,,RUR,материаловедение
Оптимизация товарных запасов,3,90000,,RUR,материаловедение
Кассовые чеки,3,81267,134400,RUR,материаловедение
Образованность,3,103000,103000,RUR,"материаловедение,металлургия"
Аналитический склад ума,3,80000,120000,RUR,"аддитивные технологии,материаловедение,нанотехнологии"
Организация производственной линии,3,80000,120000,RUR,"материаловедение,нанотехнологии"
Составление отчетов,3,128500,115000,RUR,"горное дело,материаловедение"
Инвентаризация,3,73333,90000,RUR,"горное дело,материаловедение"
Линейная выкладка товара,3,81700,91321,RUR,"материаловедение,металлургия"
Контроль качества продукции,3,87500,,RUR,"аддитивные технологии,материаловедение,металлургия"
Инициативность,3,,,,"DevOps,информатика и вычислительная техника,материаловедение"
Проектирование зданий и сооружений,3,70000,,RUR,"материаловедение,экология промышленная"
Абразивная зачистка рабочих поверхностей,3,76698,108138,RUR,материаловедение
Использование оснастки для предварительной сборки конструкций,3,76698,108138,RUR,материаловедение
Приемка груза,3,86667,150000,RUR,"материаловедение,металлургия,экология промышленная"
Продажа дополнительных услуг и оборудования,3,111667,125000,RUR,"аддитивные технологии,материаловедение"
3D Max,3,75000,150000,RUR,"аддитивные технологии,материаловедение"
Дизайн,3,89333,92500,RUR,материаловедение
Подготовка презентаций,3,84333,102500,RUR,"информатика и вычислительная техника,материаловедение,экология промышленная"
Контрольно-измерительные операции,3,110500,155000,RUR,материаловедение
Навыки работы с возражениями,3,143333,,RUR,"аддитивные технологии,материаловедение,электроника"
Гранд-смета,3,120000,120000,RUR,"материаловедение,экология промышленная"
Управление требованиями,3,105000,70000,RUR,"DevOps,материаловедение,металлургия"
Металлообработка,3,100000,150000,RUR,"материаловедение,металлургия"
Программирование,3,75000,175000,RUR,"материаловедение,нанотехнологии,электроника"
Internet,3,65900,80300,RUR,"материаловедение,металлургия,электроника"
Расстановка приоритетов,3,180000,,RUR,"горное дело,материаловедение"
Деревообработка,3,90000,,RUR,материаловедение
Сметы,3,155000,180000,RUR,"горное дело,материаловедение,энергетика"
Согласование договоров,3,57000,64800,RUR,"материаловедение,экология промышленная"
Финансовая отчетность,3,70000,64000,RUR,"материаловедение,металлургия"
Экономический анализ,3,70000,97000,RUR,"материаловедение,металлургия,энергетика"
Финансовый анализ,3,70000,64000,RUR,"материаловедение,металлургия"
РЭА,3,150000,,RUR,материаловедение
Маркетинговый анализ,3,140000,370000,RUR,"материаловедение,металлургия,электроника"
Продуктовые метрики,3,130000,,RUR,"data scientist,материаловедение"
Пунктуальность,3,120667,247500,RUR,"горное дело,материаловедение,электроника"
Анализ бизнес показателей,3,70000,,RUR,"аддитивные технологии,материаловедение,металлургия"
Подбор оборудования,3,122000,125000,RUR,"материаловедение,электроника"
Анализ требований,3,108333,128333,RUR,"информатика и вычислительная техника,материаловедение,металлургия"
Закупка оборудования,3,110000,120000,RUR,"материаловедение,электроника,энергетика"
Проведение испытаний,3,90000,120000,RUR,"материаловедение,экология промышленная,электроника"
Ведение переписки,3,70000,190000,RUR,"аддитивные технологии,материаловедение,металлургия"
Агрессивные продажи,3,130000,286667,RUR,"металлургия,электроника"
Консультирование,3,66667,189275,RUR,"аддитивные технологии,металлургия"
Желание работать и зарабатывать,3,71667,100000,RUR,"металлургия,электроника,энергетика"
ответственность,3,83333,72500,RUR,"аддитивные технологии,металлургия,экология промышленная"
Стремление к профессиональному развитию,3,110500,121000,RUR,"горное дело,металлургия"
Критическое мышление,3,113333,,RUR,металлургия
Коммуникативные навыки,3,90000,83000,RUR,"металлургия,электроника"
Планирование карьеры,3,118333,225000,RUR,"металлургия,электроника"
Расчет заработной платы,3,123333,120000,RUR,"аддитивные технологии,металлургия"
Управление бюджетом,3,125000,,RUR,"металлургия,энергетика"
Лидерские качества,3,322500,600000,RUR,"аддитивные технологии,металлургия,экология промышленная"
Оценка КЭР,3,,,,"металлургия,экология промышленная"
Участие в разработке ИТС НДТ,3,,,,"металлургия,экология промышленная"
MS Project,3,,,,"machine learning инженер,металлургия,экология промышленная"
Способность обучать других,3,,,,"металлургия,электроника"
Закупки,3,250000,,RUR,"металлургия,электроника"
Работа с документацией,3,106667,166667,RUR,"металлургия,электроника,энергетика"
Литейные технологии,3,140000,,RUR,металлургия
Английский язык - базовый уровень,3,140000,,RUR,металлургия
Владение электроинструментом,3,110000,123333,RUR,"металлургия,электроника"
Работоспособность,3,87333,108333,RUR,"металлургия,экология промышленная,электроника"
Горный мастер подземный (угольная шахта),3,220000,,RUR,горное дело
Системное мышление,3,170000,,RUR,"DevOps,горное дело"
МГВМ 5 разряда на угольной шахте,3,250000,,RUR,горное дело
Горное дело,3,,,,горное дело
Планирование горных работ,3,,,,горное дело
Surpac,3,,,,горное дело
SAP MII,3,,,,горное дело
Проектирование горных выработок,3,,,,горное дело
Нормирование,3,,,,горное дело
Делопроизводство,3,72667,86000,RUR,"горное дело,информатика и вычислительная техника,энергетика"
Прогнозирование продаж,3,69070,119070,RUR,"аддитивные технологии,горное дело,электроника"
Недропользование,3,240000,,RUR,горное дело
Офисная техника,3,64233,87330,RUR,"горное дело,информатика и вычислительная техника,электроника"
Учет материалов,3,242000,400000,RUR,"горное дело,энергетика"
Транспортная логистика,3,,,,горное дело
Взаимодействие с органами государственного контроля,3,170000,,RUR,"горное дело,экология промышленная"
JSON,3,80000,150000,RUR,информатика и вычислительная техника
Творческое мышление,3,90667,240000,RUR,"аддитивные технологии,информатика и вычислительная техника,электроника"
1С: Профессионал,3,,,,информатика и вычислительная техника
1С: Специалист,3,,,,информатика и вычислительная техника
1С: Специалист-консультант,3,,,,информатика и вычислительная техника
Конфигурационное тестирование,3,,,,информатика и вычислительная техника
Моделирование бизнес-процессов,3,,,,информатика и вычислительная техника
Тестирование баз данных,3,,,,информатика и вычислительная техника
Анализ бизнес-процессов,3,,,,информатика и вычислительная техника
Автоматизация бизнес-процессов,3,,,,информатика и вычислительная техника
Бухгалтерский учет,3,,,,информатика и вычислительная техника
регламентированный учет,3,,,,информатика и вычислительная техника
1С: Зарплата и управление персоналом,3,,,,информатика и вычислительная техника
антифрод,3,,,,информатика и вычислительная техника
Противодействие мошенничеству,3,,,,информатика и вычислительная техника
Agile,3,150000,72000,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника"
API,3,200000,236000,RUR,"DevOps,data scientist,информатика и вычислительная техника"
C#,3,,76000,RUR,информатика и вычислительная техника
Оптимизация бизнес-процессов,3,,,,"data scientist,информатика и вычислительная техника"
Мобильность,3,123500,90000,RUR,"информатика и вычислительная техника,электроника"
Администрирование сайтов,3,40000,60000,RUR,информатика и вычислительная техника
Технические средства информационной защиты,3,105000,160000,RUR,информатика и вычислительная техника
Визуализация данных,3,129000,400000,RUR,"data scientist,информатика и вычислительная техника"
REST API,3,250000,80000,RUR,"DevOps,информатика и вычислительная техника"
Стремление к профессиональному росту,3,125000,,RUR,"информатика и вычислительная техника,экология промышленная"
Анализ рисков,3,,,,"machine learning инженер,информатика и вычислительная техника"
Бизнес-анализ,3,,,,"data scientist,machine learning инженер,информатика и вычислительная техника"
Разработка ПО,3,50000,80000,RUR,"экология промышленная,электроника"
Монтаж электрооборудования,3,75333,79667,RUR,электроника
Выполнение технического надзора,3,80000,80000,RUR,"экология промышленная,электроника,энергетика"
цифровая схемотехника,3,,,,электроника
Программирование микроконтроллеров,3,150000,250000,RUR,электроника
Ремонт цифровой техники,3,128333,220000,RUR,электроника
Установление контакта,3,100000,350000,RUR,"аддитивные технологии,электроника"
Планирование закупок,3,250000,,RUR,"data scientist,электроника"
Уверенный пользователь ПК,3,187000,,RUR,"электроника,энергетика"
программирование,3,125000,290000,RUR,"machine learning инженер,электроника"
Готовность к командировкам,3,80000,166667,RUR,"аддитивные технологии,экология промышленная,электроника"
Электрика,3,86000,110000,RUR,"электроника,энергетика"
P-CAD,3,150000,,RUR,электроника
1С-Битрикс,3,112500,170000,RUR,"аддитивные технологии,экология промышленная,электроника"
VLAN,3,137500,,RUR,"DevOps,электроника"
Электроснабжение,3,136667,130000,RUR,энергетика
Управление подрядчиками,3,133667,,RUR,энергетика
Водоснабжение и канализация,3,108667,80000,RUR,энергетика
Оптимизация производства,3,,163000,RUR,энергетика
Ввод в эксплуатацию,3,120000,110000,RUR,энергетика
Составление договоров,3,,150000,RUR,"аддитивные технологии,экология промышленная"
Аттестация по ОТ и ПБ,3,83500,,RUR,экология промышленная
Проведение внутреннего экологического аудита,3,40000,80000,RUR,экология промышленная
Знание нормативной документации,3,,,,экология промышленная
Лицензирование,3,100000,135000,RUR,экология промышленная
Трудовой кодекс РФ,3,100000,135000,RUR,экология промышленная
Массовое производство,3,120000,130000,RUR,"DevOps,аддитивные технологии"
highload,3,250000,,RUR,"DevOps,machine learning инженер"
IPTables,3,175000,,RUR,DevOps
DWH,3,200000,300000,RUR,"DevOps,data scientist,machine learning инженер"
LightGBM,3,200000,350000,RUR,"data scientist,machine learning инженер"
Теория вероятностей,3,,,,"data scientist,machine learning инженер"
Keras,3,235000,200000,RUR,"data scientist,machine learning инженер"
machine learning,3,,,,machine learning инженер
genai,3,,,,machine learning инженер
langchain,3,,,,machine learning инженер
vllm,3,,,,machine learning инженер
oss models,3,,,,machine learning инженер
rag,3,,,,machine learning инженер
Unit Testing,3,,,,data scientist
Рекомендательные системы,3,,,,data scientist
HDFS,3,,,,data scientist
Написание научных статей,2,75000,125000,RUR,"аддитивные технологии,материаловедение"
Учет остатков,2,86000,,RUR,материаловедение
Заказ товара,2,82700,134400,RUR,материаловедение
Оформление товарно-сопроводительных документов,2,92500,,RUR,материаловедение
Управление испытательной лабораторией,2,40050,60100,RUR,материаловедение
органический синтез,2,112350,186500,RUR,материаловедение
CATIA,2,,,,"аддитивные технологии,материаловедение"
испытательное оборудование,2,138500,230000,RUR,"материаловедение,электроника"
Знание устройства автомобиля,2,140000,,RUR,"материаловедение,металлургия"
Малярные работы,2,145000,,RUR,"материаловедение,экология промышленная"
Организация складского хозяйства,2,82500,90000,RUR,материаловедение
Управление рисками,2,80000,200000,RUR,"информатика и вычислительная техника,материаловедение"
Авторский надзор,2,170000,182500,RUR,"аддитивные технологии,материаловедение"
Оформление витрин,2,88200,134400,RUR,материаловедение
Контроль упаковки,2,91500,,RUR,материаловедение
Складской документооборот,2,82500,,RUR,материаловедение
Списание ТМЦ,2,102500,120000,RUR,"аддитивные технологии,материаловедение"
Контроль маркировки,2,91500,,RUR,материаловедение
1С: Склад,2,82500,,RUR,материаловедение
1С: Торговля и склад,2,82500,,RUR,материаловедение
Контроль качества готовой продукции,2,85000,,RUR,"аддитивные технологии,материаловедение"
Технологии лёгкой промышленности,2,170000,,RUR,материаловедение
