ps_code,name,area,activity_type,reg_number,order_date,responsible_org
01.001,"Педагог (педагогическая деятельность в сфере дошкольного, начального общего, основного общего, среднего общего образования) (воспитатель, учитель)",Образование и наука,Дошкольное образование Начальное общее образование Основное общее образование Среднее общее образованиДошкольное образование Начальное общее образование Основное общее образование Среднее общее образо,1,2013-10-18,Совет по профессиональным квалификациям в сфере образования
40.001,Специалист по патентоведению,Сквозные виды профессиональной деятельности,Охрана и защита интеллектуальной собственности и введение в оборот прав на нее,2,2013-10-22,"Совет по профессиональным квалификациям торговой, внешнеторговой и по отдельным видам предпринимательской и экономической деятельности"
03.001,Специалист по социальной работе,Социальное обслуживание,"Деятельность по планированию, организации, контролю и предоставлению социальных услуг, мер социальной поддержки и государственной социальной помощи",3,2013-10-22,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
06.001,Программист,"Связь, информационные и коммуникационные технологии",Разработка компьютерного программного обеспечения,4,2013-11-18,Совет по профессиональным квалификациям в области информационных технологий
25.001,Специалист по проектированию и конструированию космических аппаратов и систем,Ракетно-космическая промышленность,"Проектирование и конструирование космических аппаратов, космических систем и их составных частей",5,2013-11-28,Совет по профессиональным квалификациям в области ракетной техники и космической деятельности
03.002,Социальный работник,Социальное обслуживание,Предоставление социальных услуг получателям социальных услуг,6,2013-11-18,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.003,Руководитель организации социального обслуживания,Социальное обслуживание,Управление организацией социального обслуживания,7,2013-11-18,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.004,Руководитель учреждения медико-социальной экспертизы,Социальное обслуживание,Управление бюро медико-социальной экспертизы,8,2013-12-05,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.005,Специалист по медико-социальной экспертизе,Социальное обслуживание,Проведение медико-социальной экспертизы,9,2013-12-05,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.006,Специалист органа опеки и попечительства в отношении несовершеннолетних,Социальное обслуживание,"Содействие обеспечению и защите прав и законных интересов детей, социальных, государственных гарантий детям-сиротам, детям, оставшимся без попечения родителей, лицам из числа детей-сирот, детей оставш",10,2013-11-18,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.007,Специалист по реабилитационной работе в социальной сфере,Социальное обслуживание,Социальная реабилитация и абилитация детей и взрослых,11,2013-11-18,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.008,Психолог в социальной сфере,Социальное обслуживание,Оказание социально-психологического сопровождения и психологической помощи населению,12,2013-11-18,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
03.009,Специалист по работе с семьей,Социальное обслуживание,"Предоставление социальных услуг и осуществление социального сопровождения граждан, семей, семей с детьми, а также восстановление семейного и детского благополучия, профилактика безнадзорности и правон",13,2013-11-18,"Совет по профессиональным квалификациям в сфере безопасности труда, социальной защиты и занятости населения"
40.002,Сварщик,Сквозные виды профессиональной деятельности,Ручная и частично механизированная сварка (наплавка),14,2013-11-28,Совет по профессиональным квалификациям в области сварки
16.001,Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности Специалист по оценке соответствия лифтов требованиям безопасности,Строительство и ЖКХ,Оценка соответствия лифтов и устройств безопасности лифтов требованиям безопасности,15,2013-12-20,"Совет по профессиональным квалификациям в лифтовой отрасли, сфере подъемных сооружений и вертикального транспорта"
16.002,Специалист технического заказчика,Строительство и ЖКХ,Управление инвестиционно-строительным проектом на всех стадиях жизненного цикла объекта капитального строительства и линейных объектов,16,2021-10-05,Совет по профессиональным квалификациям в строительстве
16.003,Специалист по организации сбора и накопления твердых коммунальных отходов,Строительство и ЖКХ,Деятельность по организации сбора и накопления твердых коммунальных отходов,17,2023-04-27,Совет по профессиональным квалификациям в жилищно-коммунальном хозяйстве
25.002,"Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности Слесарь-сборщик изделий точной механики (гироскопы, акселерометры) в ракетно-космической промышленности",Ракетно-космическая промышленность,"Слесарная сборка изделий точной механики (гироскопы, акселерометры) и их составных частей в ракетно-космической промышленности",18,2013-12-20,Совет по профессиональным квалификациям в области ракетной техники и космической деятельности
25.003,"Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности Инженер по приборам ориентации, навигации и стабилизации летательных аппаратов в ракетно-космической промышленности",Ракетно-космическая промышленность,"Разработка и конструкторское сопровождение производства приборов ориентации, навигации и стабилизации летательных аппаратов и их составных частей в ракетно-космической промышленности",19,2013-12-20,Совет по профессиональным квалификациям в области ракетной техники и космической деятельности
16.004,Работник кремационного комплекса,Строительство и ЖКХ,"Кремация тел (останков) умерших (погибших), обработка праха",20,2024-09-04,nan
40.003,Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-конструктор в области производства наногетероструктурных СВЧ-монолитных интегральных схем,Сквозные виды профессиональной деятельности,"Производство интегральных схем, микросборок и микромодулей",21,2014-02-03,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.004,"Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области технологического обеспечения полного цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них",Сквозные виды профессиональной деятельности,"Производство объемных нанометаллов, сплавов, композитов на их основе и изделий из них",22,2014-02-03,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.005,"Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанометаллов, сплавов, композитов на их основе и изделий из них",Сквозные виды профессиональной деятельности,"Производство объемных нанометаллов, сплавов, композитов на их основе и изделий из них",23,2014-02-03,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.006,Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем Инженер-технолог в области производства наноразмерных полупроводниковых приборов и интегральных схем,Сквозные виды профессиональной деятельности,"Разработка, сопровождение и интеграция технологических процессов производства полупроводников с использованием нанотехнологий",24,2014-02-03,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
25.004,"Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий Специалист по менеджменту космических продуктов, услуг и технологий",Ракетно-космическая промышленность,"Менеджмент космических продуктов, услуг и технологий",25,2014-02-03,Совет по профессиональным квалификациям в области ракетной техники и космической деятельности
40.007,Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем Инженер-технолог в области производства наногетероструктурных СВЧ-монолитных интегральных схем,Сквозные виды профессиональной деятельности,"Производство интегральных схем, микросборок и микромодулей",26,2014-02-03,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
25.005,Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением Инженер-программист оборудования прецизионной металлообработки с программным управлением,Ракетно-космическая промышленность,"Технологическая подготовка производства в части, касающейся подготовки управляющих программ (далее – УП) для оборудования прецизионной металлообработки с программным управлением",27,2014-02-11,Совет по профессиональным квалификациям в области ракетной техники и космической деятельности
40.008,Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами Специалист по организации и управлению научно-исследовательскими и опытно-конструкторскими работами,Сквозные виды профессиональной деятельности,Организация и управление научно-исследовательскими и опытно-конструкторскими разработками (НИОКР),28,2014-02-11,Совет по профессиональным квалификациям в сфере управления и права
40.009,Слесарь-сборщик радиоэлектронных средств,Сквозные виды профессиональной деятельности,Слесарная обработка и сборка механической части радиоэлектронных средств,29,2014-03-04,Совет по профессиональным квалификациям в области промышленной электроники и приборостроения
24.001,Переработчик радиоактивных отходов,Атомная промышленность,Переработка радиоактивных отходов,30,2014-04-07,Совет по профессиональным квалификациям в сфере атомной энергии
40.010,Специалист по техническому контролю качества продукции,Сквозные виды профессиональной деятельности,Технический контроль качества и управление качеством продукции,31,04.03.2014,Совет по профессиональным квалификациям в машиностроении
40.011,Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам Специалист по научно-исследовательским и опытно-конструкторским разработкам,Сквозные виды профессиональной деятельности,Проведение научно-исследовательских и опытно-конструкторских разработок,32,2014-03-04,Совет по профессиональным квалификациям в сфере управления и права
