ps_code,name,area,activity_type,reg_number,order_date,responsible_org
13.014,Пчеловод,Сельское хозяйство,Организация и выполнение работ по производству продукции пчеловодства,152,2014-09-08,Совет по профессиональным квалификациям агропромышленного комплекса
06.015,Специалист по информационным системам,"Связь, информационные и коммуникационные технологии",Создание и поддержка информационных систем в экономике,153,2014-11-18,Совет по профессиональным квалификациям в области информационных технологий
06.016,Руководитель проектов в области информационных технологий,"Связь, информационные и коммуникационные технологии",Менеджмент проектов в области информационных технологий,154,2014-11-18,Совет по профессиональным квалификациям в области информационных технологий
04.003,Хранитель музейных ценностей,"Культура, искусство",Деятельность по хранению музейных предметов и музейных коллекций в музеях всех видов,155,2014-08-04,Совет по профессиональным квалификациям в сфере культуры
04.004,Специалист по учету музейных предметов,"Культура, искусство",Деятельность по учету музейных предметов в музеях всех видов,156,2014-08-04,Совет по профессиональным квалификациям в сфере культуры
05.004,Инструктор-методист по адаптивной физической культуре и адаптивному спорту,Физическая культура и спорт,Организационно-методическая деятельность в области адаптивной физической культуры и адаптивного спорта,157,2014-08-04,Совет по профессиональным квалификациям в сфере физической культуры и спорта
05.005,Специалист по инструкторской и методической работе в области физической культуры и спорта,Физическая культура и спорт,Инструкторско-методическая деятельность в области физической культуры и спорта,158,2014-09-08,Совет по профессиональным квалификациям в сфере физической культуры и спорта
40.029,Слесарь-сборщик металлоконструкций,Сквозные виды профессиональной деятельности,"Сборка металлоконструкций из листового, сортового и фасонного проката",159,2014-08-04,Совет по профессиональным квалификациям в машиностроении
11.008,Специалист по производству продукции печатных средств массовой информации,"Средства массовой информации, издательство и полиграфия",Организация технологического процесса подготовки к выпуску продукции печатных средств массовой информации (СМИ),161,2014-08-04,"Совет по профессиональным квалификациям в области издательского дела, полиграфического производства и распространения печатной продукции"
04.005,Экскурсовод (гид),"Культура, искусство",Предоставление экскурсионных услуг,162,2014-08-04,Совет по профессиональным квалификациям в сфере гостеприимства
40.030,Регулировщик и настройщик радиоэлектронных средств,Сквозные виды профессиональной деятельности,"Регулировка, настройка и электротестирование радиоэлектронных средств",163,2014-08-04,Совет по профессиональным квалификациям в области промышленной электроники и приборостроения
40.031,Специалист по технологиям механосборочного производства в машиностроении,Сквозные виды профессиональной деятельности,Технологическая подготовка производства машиностроительных изделий,164,2014-09-08,Совет по профессиональным квалификациям в машиностроении
40.032,Наладчик электроэрозионных проволочно-вырезных станков,Сквозные виды профессиональной деятельности,Наладка электроэрозионных проволочно-вырезных станков,165,2014-09-08,Совет по профессиональным квалификациям в машиностроении
40.033,Специалист по оперативному управлению механосборочным производством,Сквозные виды профессиональной деятельности,Оперативное управление механосборочным производством,166,2014-09-08,Совет по профессиональным квалификациям в машиностроении
16.020,Специалист по организации эксплуатации воздушных и кабельных муниципальных линий электропередачи,Строительство и ЖКХ,Техническое обслуживание и ремонт воздушных и кабельных муниципальных линий электропередачи,167,2014-09-08,Совет по профессиональным квалификациям в жилищно-коммунальном хозяйстве
40.034,Специалист по проектному управлению в области разработки и постановки производства полупроводниковых приборов и систем с использованием нанотехнологий,Сквозные виды профессиональной деятельности,Управление в области разработки и постановки производства полупроводниковых приборов и систем с использованием нанотехнологий,168,2014-09-25,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
21.001,Дизайнер детской игровой среды и продукции,Легкая и текстильная промышленность,Промышленный дизайн детской игровой среды и продукции,169,2014-11-18,Совет по профессиональным квалификациям в сфере производства социально-значимых товаров
11.009,Режиссер средств массовой информации,"Средства массовой информации, издательство и полиграфия",Подготовка медиапродуктов средств массовой информации (СМИ) к выпуску,171,2014-09-08,ФГБУ «Всероссийский научно-исследовательский институт труда»
40.035,Инженер-конструктор аналоговых сложнофункциональных блоков,Сквозные виды профессиональной деятельности,"Проектирование устройств, приборов и систем аналоговой электронной техники",172,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.036,Специалист в области разработки волоконных лазеров,Сквозные виды профессиональной деятельности,Разработка волоконных лазеров,173,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
